Neighbourhood,Population,Participation_Rate,Employment_Rate,Unemployment_Rate,Core_Housing_Need,Unaffordable_Housing,Low_Income_AfterTax_Pct,Bachelors_Degree_Pct,No_Diploma_Pct,Immigrant_Population_Pct,Visible_Minority_Pct,Renters_Pct,Lone_Parent_Families_Pct
Hillcrest Village,16934,53.6,49.1,8.3,1385,35.5,21.9,23.50301169245305,20.077949687020197,66.6410771229479,75.49899610251565,8.887445376166294,5.550962560529113
Humber Heights-Westmount,10948,59.1,54.8,7.4,885,32.2,14.6,13.838143953233468,21.054073803434417,42.42784070149799,25.073072707343808,14.797223237120935,6.485202776762879
Humber Summit,12416,56.1,50.7,9.6,960,31.8,19.7,8.094394329896907,24.081829896907216,58.634020618556704,65.56056701030928,9.38305412371134,6.64465206185567
Humbermede,15545,60.7,54.6,10.2,1465,37.4,22.7,8.813123190736572,24.605982631071083,60.72692183981988,77.00225152782245,15.439047925377935,8.491476358957865
Humewood-Cedarvale,14365,73.7,68.5,7.1,1435,35.7,15.7,24.399582318134357,15.4890358510268,32.439958231813435,28.50678733031674,29.516185172293767,4.281239122868082
Ionview,13641,61.1,55.7,8.8,1525,33.5,23.3,12.242504215233488,23.898541162671357,57.14390440583534,72.94186643207976,23.018840260977935,7.953962319478045
Islington-City Centre West,43965,68.6,63.6,7.3,3470,33.0,15.8,22.677129534857272,19.140225179119756,44.55817127260321,36.472193790515185,18.435118844535424,5.242806778118958
Junction Area,14366,74.1,69.9,5.6,1035,32.6,13.5,22.622859529444522,17.471808436586382,31.672003341222332,28.95726019768899,17.1237644438257,4.837811499373521
Keelesdale-Eglinton West,11058,59.9,54.7,8.6,1065,36.0,18.3,7.5510942304214135,24.190631217218304,55.93235666485802,42.50316512931814,14.559594863447279,6.4659070356303125
Kennedy Park,17123,59.4,54.0,9.1,1840,35.5,26.3,11.884599661274308,25.754832681189043,55.276528645681246,69.40956608071016,17.403492378671963,7.650528528879286
Kensington-Chinatown,17945,62.6,57.5,8.2,2200,47.9,33.2,22.68041237113402,23.43271106157704,42.43521872387851,58.623572025633884,34.55001393145723,4.792421287266648
Kingsview Village-The Westway,22000,57.8,52.1,9.9,2175,35.1,24.9,11.545454545454545,25.022727272727273,51.93181818181818,59.68181818181818,16.977272727272727,8.045454545454547
Kingsway South,9271,63.2,58.6,7.5,175,19.8,4.5,28.098371265235684,13.91435659583648,21.14119296731744,11.864955236759789,7.118973142055873,2.858375579764858
Lambton Baby Point,7985,66.8,61.8,7.6,630,23.9,18.5,20.78897933625548,15.216030056355667,30.181590482154043,24.420788979336255,16.030056355666876,6.386975579211021
L'Amoreaux,43993,56.6,50.4,10.9,4265,37.9,23.5,15.72977519150774,23.99245334485032,64.38524310685791,76.2394017230014,11.831427727138408,6.478303366444662
Lansing-Westgate,16164,67.4,62.5,7.2,970,38.5,17.6,27.220984904726553,16.951249690670625,43.770106409304624,42.87305122494432,16.951249690670625,4.2068794852759215
Lawrence Park North,14607,70.4,65.9,6.4,500,22.4,6.7,28.342575477510785,11.946327103443554,22.865749298281646,21.29116177175327,9.002533032107893,3.354556034777846
Lawrence Park South,15179,68.2,63.1,7.5,490,22.8,7.3,28.427432637196127,11.957309440674617,20.94999670597536,16.865406153238027,11.529086237565057,3.096383160946044
Leaside-Bennington,16828,68.5,63.7,6.9,740,22.0,6.9,27.721654385547893,13.964820537199904,20.0558592821488,17.44116947943903,10.696458283812692,3.565486094604231
Little Portugal,15559,78.0,73.0,6.4,1280,42.1,15.6,25.77286457998586,17.835336461212158,31.07526190629218,27.41178738993509,26.640529597017803,3.984831930072627
Long Branch,10084,70.6,65.6,7.1,1085,35.4,17.6,17.20547401824673,23.205077350257834,34.16303054343515,22.8579928599762,25.53550178500595,5.900436334787782
Malvern,43794,62.0,55.5,10.5,3485,35.7,20.4,12.478878385166919,26.430561264100106,61.42393935242271,89.49856144677352,9.179339635566516,7.192766132346897
Maple Leaf,10111,61.4,56.5,8.1,820,28.3,15.2,12.95618633171793,23.538720205716544,51.87419641974088,42.52793986747107,15.42874097517555,6.329739887251508
Markland Wood,10554,59.8,56.1,6.2,660,24.5,8.3,22.645442486261132,21.366306613606216,36.858063293537995,13.21773735076748,10.469963994693956,4.690164866401365
Milliken,26572,54.5,49.3,9.5,2010,38.8,22.1,13.92443173265091,26.776305885894924,68.73776908023484,94.70495258166491,3.2364895378594007,5.9837422851121485
Mimico (includes Humber Bay Shores),33964,70.9,66.6,6.2,3420,39.8,18.2,22.25886232481451,18.87292427275939,39.527146390295606,30.60593569661995,25.423978329996466,4.740313272877164
Morningside,17455,61.3,54.4,11.4,1495,35.7,23.8,12.91893440274993,24.892580922371813,54.397020910913774,73.70380979661988,13.434545975365225,6.874820968203952
Moss Park,20506,72.4,67.5,6.9,2520,39.9,31.9,26.72388569199259,16.653662342728957,31.551740953867164,38.33024480639813,37.208621866770706,3.511167463181508
Mount Dennis,13593,63.6,56.6,10.8,1770,41.2,25.3,7.687780475244612,24.902523357610534,54.66048701537556,66.24733318619877,20.157433973368647,9.85801515485912
Mount Olive-Silverstone-Jamestown,32954,57.4,50.4,12.1,3550,37.4,27.9,9.149116950901256,23.623839291133095,65.24245918553135,86.34763609880439,16.55337743521272,7.692541117921952
Mount Pleasant East,16775,70.5,65.7,6.9,1100,29.4,10.3,28.137108792846497,13.591654247391952,26.885245901639344,22.801788375558868,19.254843517138596,3.6661698956780926
Mount Pleasant West,29658,74.5,69.5,6.7,3440,41.7,20.8,31.273180929260235,15.08867759120642,38.08415941735788,32.807336974846585,44.06905388090903,3.826960685143975
New Toronto,11463,66.7,60.9,8.7,1380,39.4,24.8,17.36020239029922,21.852918084271135,34.633167582657244,31.53624705574457,26.520108174125447,6.804501439413765
Newtonbrook East,16097,57.9,52.8,8.8,1275,48.0,27.4,26.650928744486553,18.66807479654594,61.78169845312791,69.67136733552836,13.38758774927005,4.37969808038765
Newtonbrook West,23831,59.7,54.7,8.4,2345,46.3,26.3,21.10696152070832,23.14212580252612,65.73370819520792,58.01267256934245,17.833913809743613,5.685871344047669
Niagara,31180,86.6,82.7,4.5,2040,38.3,13.7,37.95702373316228,12.203335471456061,28.848620910840282,34.20461834509301,30.131494547787042,2.838357921744708
North Riverdale,11916,73.5,69.6,5.3,770,26.1,10.9,25.42799597180262,15.525344075193019,24.546827794561935,23.623699227928835,18.50453172205438,4.11211816045653
North St. James Town,18615,67.5,60.4,10.4,3190,44.0,36.5,21.54176739188826,20.440504969110933,50.95353209777061,65.91458501208703,46.25302175664787,5.07655116841257
Oakridge,13845,57.2,48.8,14.6,2230,43.4,42.6,11.989888046226074,21.812928855182374,54.315637414228966,74.03394727338389,25.966052726616105,6.103286384976526
Oakwood Village,21210,65.7,61.2,6.8,2430,36.7,18.6,15.417256011315416,19.68411126826968,46.98255539839698,42.64497878359265,19.25978312116926,6.718528995756719
O'Connor-Parkview,18675,62.2,56.0,10.1,2035,38.0,22.5,14.645247657295851,22.704149933065594,36.8942436412316,37.34939759036144,21.44578313253012,6.693440428380187
Old East York,9233,66.0,62.9,5.0,680,28.9,13.5,18.249756308892017,20.90328170692083,32.76291562872306,26.75186829849453,14.296545001624608,5.252897216506011
Palmerston-Little Italy,13826,74.2,69.1,6.8,1060,37.8,13.8,27.520613337190802,17.430927238536093,29.654274555185882,21.336612179950816,26.86966584695501,3.5078836973817444
Parkwoods-Donalda,34805,63.1,57.3,9.2,3255,37.1,20.6,17.54058324953311,22.00833213618733,49.44691854618589,54.80534405976153,23.042666283579948,7.355265048125268
Pelmo Park-Humberlea,10722,65.4,61.5,6.0,640,31.4,11.4,11.378474165267674,24.575638873344523,45.980227569483304,43.601939936579,6.015668718522664,6.29546726357023
Playter Estates-Danforth,7804,72.1,67.6,6.4,730,37.2,13.6,25.371604305484368,15.248590466427473,23.001025115325476,19.989748846745258,24.602767811378783,3.459764223475141
Pleasant View,15818,59.0,53.1,10.0,995,32.7,17.5,19.534707295486157,22.095081552661526,61.73346820078392,64.1990137817676,8.471361739790112,5.405234542925781
Princess-Rosethorn,11051,63.3,59.5,6.0,330,19.3,7.2,24.929870599945705,18.143154465659215,30.404488281603477,19.048049950230748,5.3841281332006155,3.6648267125147043
Regent Park,10803,62.6,56.6,9.6,1340,39.4,42.3,19.068777191520876,21.61436637970934,46.42229010460057,69.14745903915579,34.24974544108118,6.664815329075256
Rexdale-Kipling,10529,62.8,55.9,10.9,935,30.7,18.6,11.25463006933232,25.406021464526546,47.250451134960585,50.9545066008168,16.003419128122328,7.455598822300313
Rockcliffe-Smythe,22246,59.8,54.3,9.2,2485,35.2,22.8,8.675716982828375,24.588690101591297,49.53699541490605,45.963319248404204,17.62114537444934,7.821630854985166
